term,category,rule,subject,object
norway,geography,excl_only,1,1
oman,geography,excl_only,1,1
pakistan,geography,excl_only,1,1
palau,geography,excl_only,1,1
panama,geography,excl_only,1,1
papua new guinea,geography,excl_only,1,1
paraguay,geography,excl_only,1,1
peru,geography,excl_only,1,1
philippines,geography,excl_only,1,1
poland,geography,excl_only,1,1
portugal,geography,excl_only,1,1
qatar,geography,excl_only,1,1
romania,geography,excl_only,1,1
russia,geography,excl_only,1,1
russian federation,geography,excl_only,1,1
rwanda,geography,excl_only,1,1
st kitts and nevis,geography,excl_only,1,1
st lucia,geography,excl_only,1,1
saint vincent and the grenadines,geography,excl_only,1,1
samoa,geography,excl_only,1,1
san marino,geography,excl_only,1,1
sao tome and principe,geography,excl_only,1,1
saudi arabia,geography,excl_only,1,1
senegal,geography,excl_only,1,1
serbia,geography,excl_only,1,1
seychelles,geography,excl_only,1,1
sierra leone,geography,excl_only,1,1
singapore,geography,excl_only,1,1
slovakia,geography,excl_only,1,1
slovenia,geography,excl_only,1,1
solomon islands,geography,excl_only,1,1
somalia,geography,excl_only,1,1
south africa,geography,excl_only,1,1
south sudan,geography,excl_only,1,1
spain,geography,excl_only,1,1
sri lanka,geography,excl_only,1,1
sudan,geography,excl_only,1,1
suriname,geography,excl_only,1,1
swaziland,geography,excl_only,1,1
sweden,geography,excl_only,1,1
switzerland,geography,excl_only,1,1
syria,geography,excl_only,1,1
taiwan,geography,excl_only,1,1
tajikistan,geography,excl_only,1,1
tanzania,geography,excl_only,1,1
thailand,geography,excl_only,1,1
togo,geography,excl_only,1,1
tonga,geography,excl_only,1,1
trinidad and tobago,geography,excl_only,1,1
tunisia,geography,excl_only,1,1
turkey,geography,excl_only,1,1
turkmenistan,geography,excl_only,1,1
tuvalu,geography,excl_only,1,1
uganda,geography,excl_only,1,1
ukraine,geography,excl_only,1,1
united arab emirates,geography,excl_only,1,1
united kingdom,geography,excl_only,1,1
united states,geography,excl_only,1,1
uruguay,geography,excl_only,1,1
uzbekistan,geography,excl_only,1,1
vanuatu,geography,excl_only,1,1
vatican city,geography,excl_only,1,1
venezuela,geography,excl_only,1,1
vietnam,geography,excl_only,1,1
yemen,geography,excl_only,1,1
zambia,geography,excl_only,1,1
zimbabwe,geography,excl_only,1,1
uk,geography,excl_only,1,1
usa,geography,excl_only,1,1
england,geography,excl_only,1,1
scotland,geography,excl_only,1,1
wales,geography,excl_only,1,1
norther ireland,geography,excl_only,1,1
africa,geography,excl_only,1,1
african,geography,excl_only,1,1
europe,geography,excl_only,1,1
european,geography,excl_only,1,1
north america,geography,excl_only,1,1
south america,geography,excl_only,1,1
latin america,geography,excl_only,1,1
north american,geography,excl_only,1,1
south american,geography,excl_only,1,1
latin american,geography,excl_only,1,1
u.s.,geography,excl_only,1,1
u.k.,geography,excl_only,1,1
asia,geography,excl_only,1,1
asian,geography,excl_only,1,1
oceania,geography,excl_only,1,1
worldwide,geography,excl_only,1,1
global,geography,excl_only,1,1
multinational,geography,excl_only,1,1
international,geography,excl_only,1,1
national,geography,excl_only,1,1
nationwide,geography,excl_only,1,1
ongoing,temporal,excl,1,1
north,geography,excl,1,1
south ,geography,excl,1,1
east,geography,excl,1,1
west,geography,excl,1,1
northeastern,geography,excl,1,1
northwestern,geography,excl,1,1
southeastern,geography,excl,1,1
southwestern,geography,excl,1,1
northern,geography,excl,1,1
southern,geography,excl,1,1
eastern,geography,excl,1,1
western,geography,excl,1,1
countries,geography,excl,1,1
country,geography,excl,1,1
nation,geography,excl,1,1
nations,geography,excl,1,1
province,geography,excl,1,1
provinces,geography,excl,1,1
provincial,geography,excl_only,1,1
region,geography,excl_only,1,1
regions,geography,excl_only,1,1
regional,geography,excl_only,1,1
interaction,generic,excl_only,1,1
interactions,generic,excl_only,1,1
follow,comparator,excl_only,1,1
follows,comparator,excl_only,1,1
older,comparator,excl_only,1,1
younger,comparator,excl_only,1,1
newer,comparator,excl_only,1,1
chinese,geography,excl_only,1,1
indian,geography,excl_only,1,1
indians,geography,excl_only,1,1
american,geography,excl_only,1,1
americans,geography,excl_only,1,1
indonesian,geography,excl_only,1,1
indonesians,geography,excl_only,1,1
